AREASQKM21,cnt,density,index,pop_den,rain,ndvi,lst,ntl,nat_rto,crop_rto,resid_rto,x,y
18328.1353,2482,-0.394902974,96,-0.334319742,0.551828229,1.229518155,-0.297704763,-0.365415712,0.037902485,0.899367423,-0.845679964,150.2024509,-23.02794489
28550.1865,1856,-0.402017087,97,-0.347424589,0.126563293,0.701351516,-0.562375379,-0.376809891,0.004981756,1.912526609,-0.89349188,149.9387104,-24.93515476
10484.2861,2128,-0.388077991,98,-0.33537444,0.774901439,1.490346344,-0.617450422,-0.317678955,0.816551901,0.177362749,-0.844364339,151.3070374,-24.17631045
7613.2963,2079,-0.380994938,99,-0.313043095,2.33470285,2.060453075,-0.508269219,-0.330980675,-0.075226666,0.608454645,-0.802924629,148.8042501,-21.13907887
2674.1083,1172,-0.364303633,100,-0.332499362,2.144896152,2.130783189,-0.21029295,-0.367032338,0.540011066,0.437485269,-0.809849001,148.5616832,-20.38875744
3826.2923,2730,-0.336497852,101,-0.238453244,1.403363212,1.50306067,0.090991622,-0.130062635,0.621611836,-0.173954824,-0.662267445,146.7203529,-19.39712036
7363.5869,3320,-0.363031565,102,-0.332862832,-0.004400622,1.221005056,-1.933252583,-0.376946893,-0.237997315,1.625520057,-0.836395099,137.8246151,-35.66226889
21336.388,2672,-0.39593234,103,-0.341404952,-0.08993418,1.285794264,-2.001338757,-0.377081421,-0.620649007,3.014319963,-0.865987751,140.4590704,-36.87971001
36782.5988,2715,-0.401127595,104,-0.344129319,-0.674853559,0.109269635,-1.400630254,-0.378374478,-0.327267476,2.380078271,-0.876376018,140.0091069,-35.00479972
37888.1495,4836,-0.395689169,105,-0.345124218,-0.257109046,0.649219828,-1.667695154,-0.380920499,-0.471887727,2.254573051,-0.885996057,117.9981293,-34.14784782
48762.8059,3963,-0.400373981,106,-0.34760939,-0.508776032,0.139556171,-1.308272693,-0.380137732,-0.601489847,2.361953725,-0.894473751,118.1159226,-32.83852476
33606.5893,1870,-0.402963234,107,-0.347670536,1.671440691,1.142185212,0.873201414,-0.378646425,1.306944273,-0.504803742,-0.893961377,135.7371663,-12.93277698
45551.398,1355,-0.405579779,108,-0.348394388,-0.611510306,0.016080607,-0.728144406,-0.384962532,1.104130361,-0.004291659,-0.898697448,145.4846824,-31.87602038
12142.3532,992,-0.400330885,109,-0.347796049,-0.257311507,0.868026023,-0.978019342,-0.383594263,0.045783477,1.96584262,-0.894709397,148.2240135,-30.97966358
21216.0023,1251,-0.402627687,110,-0.348050304,-0.375752948,0.499723777,-0.945301396,-0.381476061,0.153187259,1.564977421,-0.896418921,147.0806887,-31.45047816
27011.1328,1337,-0.403584173,111,-0.348033817,-0.319372639,0.155048869,-0.630788734,-0.383608583,0.449695731,1.144229582,-0.895680276,148.0661927,-29.7647092
170.1153,369,-0.189426993,112,-0.085122652,-0.908758396,-1.07069277,-0.656234872,0.184577252,-0.898071955,-0.497525043,-0.454419685,141.4792749,-31.9440223
13922.8975,993,-0.401379246,113,-0.348123185,-0.697046488,0.140677986,-1.031353304,-0.383997114,0.640322538,0.698993964,-0.894569053,144.7074011,-34.15259744
322.4567,486,-0.256306357,114,-0.305993174,-0.875551243,-0.086063575,-1.108388314,-0.263305031,-0.646014435,0.513248338,-0.740329802,142.041235,-34.11413065
49722.5286,1700,-0.405130866,115,-0.348448388,-0.827896905,-0.389229476,-0.907711337,-0.385691181,0.97319579,-0.0017578,-0.898970033,142.9041316,-33.7833289
31104.0851,773,-0.406074306,116,-0.348274983,-0.316487141,-0.282545686,-0.44088351,-0.384153794,-0.425003807,2.71898031,-0.896875428,148.1161527,-28.31590632
8048.7229,812,-0.398392205,117,-0.346505645,0.057354203,0.799748184,-0.942969323,-0.380566077,0.426271186,1.245039415,-0.890378089,150.6889703,-26.37090417
830.4585,203,-0.383887752,118,-0.331421778,-0.057313683,-0.034991722,-0.94544859,-0.350318381,-0.775313318,3.153531777,-0.832517893,150.3571688,-28.39796904
17523.0601,1228,-0.40150476,119,-0.348055351,-0.017728132,0.140340461,-0.909677024,-0.385605392,-0.196498881,2.312154286,-0.896285334,150.3332708,-28.39765418
11841.615,1175,-0.398559848,120,-0.347863952,0.018068195,0.387564426,-0.786553584,-0.326440049,-0.222911909,2.451565991,-0.893479642,149.9196292,-26.40343654
78.0284,232,-0.108178193,121,-0.135343518,-0.090295351,0.140316587,-0.629775138,0.045873234,-0.905624846,2.177497757,-0.086662427,148.8039734,-26.56314224
13208.4392,742,-0.402909447,122,-0.347889686,-0.015907689,0.134560627,-0.877755833,-0.383246314,-0.262727408,2.353234648,-0.873558568,150.1689523,-27.50397684
18635.1607,1301,-0.401531517,123,-0.347668844,0.060014577,0.660644168,-0.285508113,-0.37055572,0.061349426,1.797473851,-0.895433809,149.3282992,-23.92401062
41551.251,1725,-0.404390753,124,-0.348106525,0.06341222,0.343418289,-0.207735489,-0.383185474,0.130495586,1.677503175,-0.895076648,148.0177294,-24.0792105
38.982,97,-0.157175299,125,0.448419826,-0.057063615,0.282892087,-0.044946271,0.30453692,-0.899972482,0.118754124,0.926018526,148.1625627,-23.53548058
52.6281,182,-0.05918071,126,0.045242668,0.660313548,0.76668295,0.421492126,0.181839673,-0.870195689,-0.048780832,0.615136186,148.2303389,-20.01756876
27991.3922,1570,-0.402918291,127,-0.347792555,0.291394892,0.785398323,-0.14054444,-0.359271704,0.317504206,1.272631759,-0.895124643,148.7281541,-22.18824041
27669.8883,710,-0.405992707,128,-0.348316247,-0.109857349,-0.012290338,0.268067585,-0.386399266,0.208778241,1.766025844,-0.898120877,147.0468403,-22.32039717
21092.2365,908,-0.404235762,129,-0.348176318,0.258830018,0.589672127,0.250271504,-0.383136731,0.937833685,0.266688684,-0.896549135,147.6175814,-20.74211071
3046.6387,255,-0.400128683,130,-0.341535213,-0.11290962,0.059885395,0.245286607,-0.209366079,-0.242893269,2.421079414,-0.882210398,147.8897998,-21.94736305
7423.9891,448,-0.402488259,131,-0.348206413,2.761962659,1.576702345,0.771506165,-0.378192813,1.275409475,-0.504885114,-0.892537978,141.8284547,-13.60936341
6950.6979,301,-0.404209898,132,-0.348059076,1.988471894,0.629539691,1.095562816,-0.377226461,1.193703403,-0.504885114,-0.890477707,141.8085715,-14.94039404
1052.0676,603,-0.350675923,133,-0.343505385,3.004748949,1.772957444,0.23629592,-0.376624541,0.613566058,-0.504885114,-0.846996126,142.3128985,-11.00490265
883.7402,1026,-0.291285362,134,-0.340794618,3.040754397,2.093417473,0.133065166,-0.377282268,-0.257269381,-0.503669863,-0.741825868,142.4122844,-10.73114804
490.0453,1322,-0.136020258,135,-0.330743719,2.958715717,1.830453342,0.17261487,-0.36563317,-0.216837403,-0.504885114,-0.238844858,142.3656044,-9.859100399
15.8036,209,0.92759517,136,0.12471262,3.36865359,0.542065351,0.776792188,0.146912827,-1.04773521,-0.504885114,0.987521128,141.8611834,-12.64155608
68.6964,138,-0.20562081,137,0.369281488,-0.36936041,-0.547248104,0.698681478,1.838912047,-0.193161306,-0.482201933,0.154691917,139.5078305,-20.72891435
40699.7586,1304,-0.405348116,138,-0.348370202,-0.244582939,-0.062397815,-0.256059158,-0.388611009,0.603001268,0.94425298,-0.897768419,146.4894831,-26.18966643
40572.2442,614,-0.407056226,139,-0.348394796,-0.525451056,-0.843137447,0.546752954,-0.390837423,1.119791339,-0.011574497,-0.89822281,143.9593264,-23.71812058
69.8291,34,-0.359390662,140,-0.036030143,0.789510999,1.652420972,0.169232014,0.161492202,-1.025941921,2.695054021,-0.287517331,147.4124375,-19.57670746
4878.6303,428,-0.399721434,141,-0.34456941,0.639413152,1.209627888,0.280405527,-0.371338571,0.193424986,0.871353977,-0.886502208,147.2442947,-19.83062813
41.8593,119,-0.121355218,142,0.117708961,0.075031168,0.419783655,0.273630207,0.009414168,-0.957090903,-0.141943981,1.041255725,146.2685312,-20.06854975
41.6192,109,-0.143974419,143,-0.07239374,3.725634213,1.693037637,0.096411702,0.282483827,-1.005703993,2.24188575,-0.071874011,146.1544091,-18.65510647
2765.5697,912,-0.375266777,144,-0.342786419,2.883751694,2.35862987,-0.255246156,-0.376988168,0.374241044,0.908041419,-0.877325291,146.0460093,-18.66198369
71.9928,13,-0.390340868,145,-0.278636396,2.691607691,2.559959882,-0.297475309,-0.356698545,-0.452680459,-0.504885114,0.928666283,146.6002599,-18.73134774
413.3374,200,-0.359697489,146,-0.334619089,-0.866510901,-0.30183383,-1.022292308,-0.356558548,-0.836807421,2.857597581,-0.796671639,133.6259893,-32.04954384
7228.3655,1364,-0.389519709,147,-0.346584573,-0.438928497,0.667629471,-1.510837855,-0.383212725,-0.423603126,1.970396412,-0.89023397,135.7503527,-34.33526544
15184.3968,1373,-0.399449423,148,-0.34787362,-0.758829169,-0.206143999,-1.153692443,-0.382117684,-0.131369135,1.734258897,-0.893684467,136.4145754,-33.33225721
11387.2463,1009,-0.399632688,149,-0.348171354,-0.677822623,0.079726542,-1.067668853,-0.384907759,0.088769612,1.62489267,-0.894759551,135.3097281,-33.33475754
136.2831,484,-0.049763959,150,-0.089351888,-0.22629648,1.213989401,-1.764593978,-0.252827673,-0.511236187,0.351845018,-0.04678282,135.8107514,-34.71389334
31877.8466,1258,-0.404598063,151,-0.348380555,-0.816361753,-0.511966293,-0.940306231,-0.384378781,0.839290617,0.553398734,-0.896108786,132.793358,-31.91255963
40.8706,113,-0.129239366,152,0.856461659,-0.869629304,-0.653948124,-1.04240103,0.88017258,-1.037811352,-0.493489247,1.213568925,137.536526,-33.041391
80.449,103,-0.279227807,153,-0.320143276,-0.856701147,-0.74067425,-0.942799338,0.944248475,0.558836007,-0.248003177,-0.526065499,137.5838747,-32.97260957
77.6795,108,-0.268112469,154,-0.296005527,-1.173071825,-1.40759509,-0.483316814,-0.262799559,-1.048825953,-0.504885114,1.005929629,134.752361,-29.01584485
26107.329,1221,-0.403859964,155,-0.348430534,-0.93261678,-0.75883769,-0.821555223,-0.382300638,1.398538522,-0.357666588,-0.895819614,137.227973,-32.3933059
253.9025,282,-0.296368683,156,-0.22032125,-0.921983726,-0.629241169,-0.773355118,-0.173974529,0.656481663,-0.504885114,-0.476301095,137.8011671,-32.49790215
288.3624,201,-0.338159371,157,-0.309252425,-1.11671066,-1.09771457,-0.312159088,-0.188354588,0.434678891,-0.504885114,-0.432268498,136.8781425,-30.48252433
1219.9032,704,-0.350278056,158,-0.339833041,0.071028594,0.746806494,-0.924507002,-0.366532821,-0.621852912,1.153656355,-0.806946177,116.0783468,-31.37438131
6896.4975,1236,-0.390477489,159,-0.347263046,-0.704566251,-0.272342045,-0.931573464,-0.381600054,-0.967615065,3.815924547,-0.891256147,117.4711239,-31.71479866
11490.3834,1580,-0.394692205,160,-0.3477882,-0.707663552,-0.275883566,-0.796544189,-0.383061315,-0.965468345,3.624711377,-0.894837871,117.1027041,-30.89907965
9919.9306,2361,-0.384538178,161,-0.346752504,-0.113280033,0.366417268,-0.808607884,-0.379575608,-0.069573065,1.614294911,-0.871823025,115.5688173,-30.7514144
9827.5053,1355,-0.394654616,162,-0.347403447,-0.723380948,-0.349926795,-0.987563748,-0.382573567,-0.908929992,3.671514606,-0.895422481,118.3819527,-31.84324794
13538.3952,1903,-0.39438335,163,-0.347803835,-0.631362266,-0.231307598,-0.663686677,-0.382812823,-0.797433929,2.84135146,-0.894342453,116.6149679,-30.39753845
1431.2215,598,-0.366370018,164,-0.330698804,-0.348098619,0.416979093,-0.904133372,-0.341611609,-0.52241589,2.429078569,-0.804105824,116.6360066,-31.68593389
1691.6485,867,-0.356802654,165,-0.342444986,-0.138917886,0.801300775,-0.969617593,-0.380442245,0.436615949,1.004901902,-0.833578305,116.3806653,-31.47107928
4502.1111,1913,-0.365653992,166,-0.345983751,-0.298436232,0.518333624,-1.071028868,-0.379881188,-0.270021495,2.228533398,-0.883166043,116.7676774,-32.05726156
50.0425,375,0.34853893,167,0.252777288,0.163080848,0.115024448,1.015671439,1.191670881,-0.820529022,-0.504885114,1.251912778,122.222996,-17.9447059
17.0749,36,-0.195565839,168,0.385708075,-0.740506512,-1.018591917,0.691120171,0.991426746,-0.952557264,-0.504749436,1.049171136,119.7421216,-23.36680326
94.1758,90,-0.312029523,169,-0.238892769,-0.743697471,-1.142546553,0.961933105,1.563186188,-1.014798608,-0.504885114,0.493889398,118.6284399,-20.34990449
22.2565,30,-0.272397127,170,0.673392419,-0.741629464,-0.555570795,1.226152195,1.442058547,-0.300001522,-0.502710474,0.520459395,118.6007325,-20.40655755
134.2041,169,-0.281353421,171,-0.052835396,-0.871357847,-0.865427549,1.311291672,0.365343555,-0.877341585,-0.493278503,0.821794117,116.8216121,-20.7488706
